Maker,Model,Variant,Year,Color,Color_hex_code,Ex-Showroom_Price,Selling_Price,Fuel_Type,Displacement,Cylinders,Power,Torque,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,Body_Type,Drivetrain,Fuel_System
Ford,Mustang,Fastback V8,2022,Race Red,#BA0000,"Rs. 74,62,000",,Petrol,4951 cc,8,401PS@6550RPM,515Nm@4250-4300RPM,10 km/litre,13 km/litre,13 km/litre,"Sedan, Coupe",RWD,Injection
Ford,Mustang,Fastback V8,2022,Absolute Black,#000000,"Rs. 74,62,000",,Petrol,4951 cc,8,401PS@6550RPM,515Nm@4250-4300RPM,10 km/litre,13 km/litre,13 km/litre,"Sedan, Coupe",RWD,Injection
Jeep,Grand Cherokee,Summit Petrol,2018,Velvet Red,#900C3F,"Rs. 75,15,000",,Petrol,3604 cc,6,286PS@6350rpm,347Nm@4300rpm,,,8.61 km/litre,SUV,AWD,Injection
Jeep,Grand Cherokee,Summit Petrol,2018,Diamond Black Crystal,#000000,"Rs. 75,15,000",,Petrol,3604 cc,6,286PS@6350rpm,347Nm@4300rpm,,,8.61 km/litre,SUV,AWD,Injection
Bmw,M2,Coupe,2023,M Portimao Blue metallic,#0047AB,"Rs. 81,80,000",,Petrol,2979 cc,6,410hp@5230-7000RPM,550Nm@2350-5230rpm,12.5-12.7 km/litre,8.3-8.4 km/litre,9.8-10.0 km/litre,Coupe,RWD,Injection
Bmw,M2,Coupe,2023,Black saphire metallic,#0F0F0F,"Rs. 81,80,000",,Petrol,2979 cc,6,410hp@5230-7000RPM,550Nm@2350-5230rpm,12.5-12.7 km/litre,8.3-8.4 km/litre,9.8-10.0 km/litre,Coupe,RWD,Injection
Porsche,718,Boxster,2015,Gentian Blue Metallic,#0E2F44,"Rs. 89,95,000",,Petrol,1988 cc,4,300PS@6500rpm,380Nm@1950-4500RPM,9 km/litre,7.4 km/litre,7.4 km/litre,Convertible,RWD,Injection
Porsche,718,Boxster,2015,Guards Red,#D40000,"Rs. 89,95,000",,Petrol,1988 cc,4,300PS@6500rpm,380Nm@1950-4500RPM,9 km/litre,7.4 km/litre,7.4 km/litre,Convertible,RWD,Injection
Mercedes-Benz,Gls,350 Cdi,2016,Polar White,#FAFAFA,"Rs. 88,20,000",,Diesel,2987 cc,6,258PS@3600rpm,619Nm@1600-2400RPM,6.5 km/litre,10.5 km/litre,11.6 km/litre,SUV,AWD,Injection
Mercedes-Benz,Gls,350 Cdi,2016,Obsidian Black,#363636,"Rs. 88,20,000",,Diesel,2987 cc,6,258PS@3600rpm,619Nm@1600-2400RPM,6.5 km/litre,10.5 km/litre,11.6 km/litre,SUV,AWD,Injection
Toyota,Land Cruiser Prado,Vx L,2019,Silver Metallic,#C0C0C0,"Rs. 96,30,000",,Diesel,2982 cc,4,173PS@3400rpm,410Nm@1600-2800rpm,7 km/litre,11 km/litre,11.13 km/litre,SUV,4WD,Injection
Toyota,Land Cruiser Prado,Vx L,2019,Gray Metallic,#808080,"Rs. 96,30,000",,Diesel,2982 cc,4,173PS@3400rpm,410Nm@1600-2800rpm,7 km/litre,11 km/litre,11.13 km/litre,SUV,4WD,Injection
Lexus,Rx,450Hl Luxury,2018,Sonic Quartz,#F0F8FF,"Rs. 99,00,000",,Petrol,3456 cc,6,262PS@6000rpm,335Nm@4600rpm,18.8 km/litre,,18 km/litre,SUV,AWD,Injection
Lexus,Rx,450Hl Luxury,2018,Sonic Chrome,#7C7C7C,"Rs. 99,00,000",,Petrol,3456 cc,6,262PS@6000rpm,335Nm@4600rpm,18.8 km/litre,,18 km/litre,SUV,AWD,Injection
Audi,Rs5,Coupe,2020,Nardo Gray,#6D6E71,"Rs. 1,11,41,200",,Petrol,2894 cc,8,450PS@5700-6700rpm,600Nm@1900-5000rpm,,,10.8 km/litre,Coupe,AWD,Injection
Audi,Rs5,Coupe,2020,Tango Red,#DC143C,"Rs. 1,11,41,200",,Petrol,2894 cc,8,450PS@5700-6700rpm,600Nm@1900-5000rpm,,,10.8 km/litre,Coupe,AWD,Injection
Bmw,7-Series,730Ld Design Pure Excellence,2018,Black Sapphire Metallic,#0F0F0F,"Rs. 1,22,90,000",,Diesel,2993 cc,6,265PS@4000RPM,620Nm@2000-2500RPM,13.5 km/litre,16.46 km/litre,17.66 km/litre,Sedan,AWD,Injection
Bmw,7-Series,730Ld Design Pure Excellence,2018,Individual Dravit Grey Metallic,#3C3C3C,"Rs. 1,22,90,000",,Diesel,2993 cc,6,265PS@4000RPM,620Nm@2000-2500RPM,13.5 km/litre,16.46 km/litre,17.66 km/litre,Sedan,AWD,Injection
Audi,Q8,55 Tfsi Quattro Tiptronic,2018,Glacier White Metallic,#F0F8FF,"Rs. 1,33,59,500",,Petrol,2995 cc,4,340PS@5000rpm,500Nm@1370rpm,,,,SUV,AWD,Injection
Audi,Q8,55 Tfsi Quattro Tiptronic,2018,Mythos Black Metallic,#0A0A0A,"Rs. 1,33,59,500",,Petrol,2995 cc,4,340PS@5000rpm,500Nm@1370rpm,,,,SUV,AWD,Injection
Mercedes-Benz,S-Class,S 350 D,2020,Diamond White Bright,#FBFCF8,"Rs. 1,35,58,438",,Diesel,2987 cc,6,258PS@3600rpm,620Nm@1600-2400rpm,9 km/litre,13.5 km/litre,13.5 km/litre,Sedan,RWD,Injection
Mercedes-Benz,S-Class,S 350 D,2020,Onyx Black,#0F0F0F,"Rs. 1,35,58,438",,Diesel,2987 cc,6,258PS@3600rpm,620Nm@1600-2400rpm,9 km/litre,13.5 km/litre,13.5 km/litre,Sedan,RWD,Injection
Maserati,Levante,Diesel,2020,Blu Passione,#00008B,"Rs. 1,45,12,054",,Diesel,2987 cc,6,275PS@4000rpm,600Nm@2000-2600rpm,5.2 km/litre,6.2 km/litre,7.9 km/litre,SUV,AWD,Injection
Maserati,Levante,Diesel,2020,Bianco Alpi,#EFEFEF,"Rs. 1,45,12,054",,Diesel,2987 cc,6,275PS@4000rpm,600Nm@2000-2600rpm,5.2 km/litre,6.2 km/litre,7.9 km/litre,SUV,AWD,Injection
Mercedes-Benz,G-Class,Amg G 63,2019,Obsidian Black Metallic,#363636,"Rs. 2,18,75,136",,Petrol,3982 cc,8,585hp@6000rpm,850Nm@2500-3500rpm,,,,SUV,AWD,Injection
Mercedes-Benz,G-Class,Amg G 63,2019,Opalite White Bright,#F0FFFF,"Rs. 2,18,75,136",,Petrol,3982 cc,8,585hp@6000rpm,850Nm@2500-3500rpm,,,,SUV,AWD,Injection
Audi,A8 L,55 Tfsi Quattro,2015,Terra Grey Metallic,#636363,"Rs. 1,56,00,000",,Petrol,2995 cc,8,340PS@5000rpm,500Nm@1370rpm,,,,Sedan,AWD,Injection
Audi,A8 L,55 Tfsi Quattro,2015,Vesuvius Grey,#404040,"Rs. 1,56,00,000",,Petrol,2995 cc,8,340PS@5000rpm,500Nm@1370rpm,,,,Sedan,AWD,Injection
Porsche,Panamera,Turbo,2019,White,#FFFFFF,"Rs. 2,12,63,000",,Petrol,3996 cc,8,550PS@6000RPM,770Nm@1960 - 4500rpm,7.1 km/litre,7.8 km/litre,10.63 km/litre,Sedan,AWD,Injection
Porsche,Panamera,Turbo,2019,Jet Black Metallic,#0A0A0A,"Rs. 2,12,63,000",,Petrol,3996 cc,8,550PS@6000RPM,770Nm@1960 - 4500rpm,7.1 km/litre,7.8 km/litre,10.63 km/litre,Sedan,AWD,Injection
Bentley,Continental Gt,Coupe,2022,Sequin Blue,#0047AB,"Rs. 3,37,91,059",,Petrol,5998 cc,12,590PS@6000rpm,720Nm@1800rpm,5.3 km/litre,8.6 km/litre,8.6 km/litre,Coupe,AWD,Injection
Bentley,Continental Gt,Coupe,2022,Anthracite Satin,#3C3C3C,"Rs. 3,37,91,059",,Petrol,5998 cc,12,590PS@6000rpm,720Nm@1800rpm,5.3 km/litre,8.6 km/litre,8.6 km/litre,Coupe,AWD,Injection
Ferrari,Portofino,V8 Convertible,2019,Rosso Corsa,#CC0000,"Rs. 3,50,00,000",,Petrol,3855 cc,8,560PS@7500rpm,755NM@4750rpm,6 km/litre,9 km/litre,9 km/litre,Convertible,AWD,Injection
Ferrari,Portofino,V8 Convertible,2019,Giallo Modena,#FFEA00,"Rs. 3,50,00,000",,Petrol,3855 cc,8,560PS@7500rpm,755NM@4750rpm,6 km/litre,9 km/litre,9 km/litre,Convertible,AWD,Injection
Maruti Suzuki,S-Presso,Vxi,2023,Solid Fire Red,#FF4500,"Rs. 4,32,500",,Petrol,998 cc,3,67PS@5500rpm,90Nm@3500rpm,,,21.7 km/litre,Hatchback,FWD,Injection
Maruti Suzuki,S-Presso,Vxi,2023,Solid Sizzle Orange,#FF7518,"Rs. 4,32,500",,Petrol,998 cc,3,67PS@5500rpm,90Nm@3500rpm,,,21.7 km/litre,Hatchback,FWD,Injection
Hyundai,Grand I10 Nios,Sportz 1.2 Vtvt,2022,Fiery Red,#FF4040,"Rs. 6,43,350",,Petrol,1197 cc,4,83PS@6000rpm,114Nm@4000rpm,,,20.7 km/litre,Hatchback,FWD,Injection
Hyundai,Grand I10 Nios,Sportz 1.2 Vtvt,2022,Titan Grey,#505050,"Rs. 6,43,350",,Petrol,1197 cc,4,83PS@6000rpm,114Nm@4000rpm,,,20.7 km/litre,Hatchback,FWD,Injection
Mahindra,Kuv100 Nxt,K8 6Str,2017,Fiery Orange,#FF7518,"Rs. 6,93,550",,Petrol,1198 cc,3,82PS@5500RPM,115NM@3500-3600RPM,15.5 km/litre,18.15 km/litre,18.15 km/litre,Hatchback,FWD,Injection
Mahindra,Kuv100 Nxt,K8 6Str,2017,Midnight Black,#2B2B2B,"Rs. 6,93,550",,Petrol,1198 cc,3,82PS@5500RPM,115NM@3500-3600RPM,15.5 km/litre,18.15 km/litre,18.15 km/litre,Hatchback,FWD,Injection
Maruti Suzuki,Swift,Zxi Plus,2023,Sizzling Red Metallic,#D73B3E,"Rs. 7,58,000",,Petrol,1197 cc,4,83PS@6000rpm,113Nm@4200RPM,,,20.4 km/litre,Hatchback,FWD,Injection
Maruti Suzuki,Swift,Zxi Plus,2023,Luster Blue,#4169E1,"Rs. 7,58,000",,Petrol,1197 cc,4,83PS@6000rpm,113Nm@4200RPM,,,20.4 km/litre,Hatchback,FWD,Injection
Tata,Altroz,Xz Petrol,2015,Dune Glow,#EEDC82,"Rs. 7,44,000",,Petrol,1199 cc,3,86PS@6000rpm,113Nm@3300rpm,,18 km/litre,,Hatchback,FWD,Injection
Tata,Altroz,Xz Petrol,2015,Ember Glow,#CC5500,"Rs. 7,44,000",,Petrol,1199 cc,3,86PS@6000rpm,113Nm@3300rpm,,18 km/litre,,Hatchback,FWD,Injection
Tata,Tigor,Revotron Xz,2022,Meteor Bronze,#966F33,"Rs. 6,50,000",,Petrol,1199 cc,3,86PS@6000rpm,113Nm@3300rpm,24.12 km/litre,23 km/litre,23 km/litre,Sedan,FWD,Injection
Tata,Tigor,Revotron Xz,2022,Arizona Blue,#2C3E50,"Rs. 6,50,000",,Petrol,1199 cc,3,86PS@6000rpm,113Nm@3300rpm,24.12 km/litre,23 km/litre,23 km/litre,Sedan,FWD,Injection
Tata,Zest,Xt Diesel,2019,Buzz Blue,#0066CC,"Rs. 8,55,362",,Diesel,1248 cc,4,90PS@4000rpm,200NM@1750-3000rpm,19.2 km/litre,23 km/litre,23 km/litre,Sedan,FWD,Injection
Tata,Zest,Xt Diesel,2019,Pristine White,#FDFDFD,"Rs. 8,55,362",,Diesel,1248 cc,4,90PS@4000rpm,200NM@1750-3000rpm,19.2 km/litre,23 km/litre,23 km/litre,Sedan,FWD,Injection
Honda,Amaze,Vx Cvt Petrol,2021,Radiant Red Metallic,#AD1F2D,"Rs. 8,64,000",,Petrol,1199 cc,4,90PS@6000rpm,110Nm@4800rpm,,,19.5 km/litre,Sedan,FWD,Injection
Honda,Amaze,Vx Cvt Petrol,2021,Lunar Silver Metallic,#B6B6B4,"Rs. 8,64,000",,Petrol,1199 cc,4,90PS@6000rpm,110Nm@4800rpm,,,19.5 km/litre,Sedan,FWD,Injection
Hyundai,Venue,1.0 Turbo Gdi Mt Sx,2016,Dragon Red,#D2042D,"Rs. 9,59,000",,Petrol,998 cc,4,117bhp@6000rpm,172Nm@1500-4000rpm,,,18.27 km/litre,SUV,FWD,Injection
Hyundai,Venue,1.0 Turbo Gdi Mt Sx,2016,Abyss Black,#1B1B1B,"Rs. 9,59,000",,Petrol,998 cc,4,117bhp@6000rpm,172Nm@1500-4000rpm,,,18.27 km/litre,SUV,FWD,Injection
Tata,Nexon,Xz Plus,2023,Pure Grey,#808080,"Rs. 9,50,000",,Petrol,1198 cc,3,110PS@5000rpm,170Nm@1500-2750rpm,,,17.6 km/litre,SUV,FWD,Injection
Tata,Nexon,Xz Plus,2023,Daytona Grey,#4A4A4A,"Rs. 9,50,000",,Petrol,1198 cc,3,110PS@5000rpm,170Nm@1500-2750rpm,,,17.6 km/litre,SUV,FWD,Injection
Fiat,Linea,T-Jet Emotion,2021,Bronzo Tan,#CD7F32,"Rs. 9,97,763",,Petrol,1368 cc,4,114PS@5000rpm,207Nm@2200rpm,"11,3 km/litre",15.7 km/litre,15.7 km/litre,Sedan,FWD,Injection
Fiat,Linea,T-Jet Emotion,2021,Magnesio Grey,#595959,"Rs. 9,97,763",,Petrol,1368 cc,4,114PS@5000rpm,207Nm@2200rpm,"11,3 km/litre",15.7 km/litre,15.7 km/litre,Sedan,FWD,Injection
Mahindra,Bolero Power Plus,Zlx,2019,Mist Silver,#C0C0C0,"Rs. 8,86,398",,Diesel,1493 cc,4,70ps@3600rpm,195Nm@1400-2200rpm,12.4 km/litre,,16.5 km/litre,SUV,FWD,Injection
Mahindra,Bolero Power Plus,Zlx,2019,Diamond White,#FBFCF8,"Rs. 8,86,398",,Diesel,1493 cc,4,70ps@3600rpm,195Nm@1400-2200rpm,12.4 km/litre,,16.5 km/litre,SUV,FWD,Injection
Maruti Suzuki,Brezza,Zdi+,2016,Sizzling Red,#D73B3E,"Rs. 9,87,743",,Diesel,1248 cc,4,90PS@4000rpm,200Nm@1750rpm,20 km/litre,24.3 km/litre,24.3 km/litre,SUV,FWD,Injection
Maruti Suzuki,Brezza,Zdi+,2016,Brave Khaki,#F0E68C,"Rs. 9,87,743",,Diesel,1248 cc,4,90PS@4000rpm,200Nm@1750rpm,20 km/litre,24.3 km/litre,24.3 km/litre,SUV,FWD,Injection
Hyundai,I20 Active,1.2 Sx,2015,Polar White,#2F519F,"Rs. 8,58,536",,Petrol,1197 cc,4,83PS@6000rpm,114Nm@4000rpm,15 km/litre,17.19 km/litre,17.19 km/litre,Hatchback,FWD,Injection
Hyundai,I20 Active,1.2 Sx,2015,Fiery Red,#FF4040,"Rs. 8,58,536",,Petrol,1197 cc,4,83PS@6000rpm,114Nm@4000rpm,15 km/litre,17.19 km/litre,17.19 km/litre,Hatchback,FWD,Injection
Ford,Ecosport,1.5L Ti-Vct Titanium,2018,Canyon Ridge,#B5651D,"Rs. 9,50,000",,Petrol,1497 cc,3,123PS@6500rpm,150Nm@4500rpm,,,17 km/litre,SUV,FWD,Injection
Ford,Ecosport,1.5L Ti-Vct Titanium,2018,Lightning Blue,#1974D2,"Rs. 9,50,000",,Petrol,1497 cc,3,123PS@6500rpm,150Nm@4500rpm,,,17 km/litre,SUV,FWD,Injection
Hyundai,Verna,1.6 Vtvt Sx(O) At,2016,Fiery Red,#FF4040,"Rs. 12,87,999",,Petrol,1591 cc,4,123PS@6400rpm,155Nm@4850rpm,,,17.7 km/litre,Sedan,FWD,Injection
Hyundai,Verna,1.6 Vtvt Sx(O) At,2016,Starry Night,#2C3E50,"Rs. 12,87,999",,Petrol,1591 cc,4,123PS@6400rpm,155Nm@4850rpm,,,17.7 km/litre,Sedan,FWD,Injection
Mahindra,Xuv300,1.5 W8 (O) Amt,2023,Dark Grey,#505050,"Rs. 12,69,131",,Diesel,1497 cc,,115bhp@3750rpm,300Nm@1500rpm,,,20 km/litre,SUV,RWD,Injection
Mahindra,Xuv300,1.5 W8 (O) Amt,2023,Pearl White with Black Roof,#F5F5F0,"Rs. 12,69,131",,Diesel,1497 cc,,115bhp@3750rpm,300Nm@1500rpm,,,20 km/litre,SUV,RWD,Injection
Renault,Lodgy,Stepway Rxz 110Ps 8-Seater,2022,Royal Orchid,#9932CC,"Rs. 12,11,599",,Diesel,1461 cc,4,110PS@4000rpm,245Nm@1750rpm,21.04 km/litre,,19.98 km/litre,MUV,FWD,Injection
Renault,Lodgy,Stepway Rxz 110Ps 8-Seater,2022,Moonlight Silver,#C0C0C0,"Rs. 12,11,599",,Diesel,1461 cc,4,110PS@4000rpm,245Nm@1750rpm,21.04 km/litre,,19.98 km/litre,MUV,FWD,Injection
Volkswagen,Vento,Highline 1.5 (D) Dsg,2020,Toffee Brown,#CD5700,"Rs. 13,36,500",,Diesel,1498 cc,4,105PS@4400rpm,250Nm@1500-2500rpm,,,21.5 km/litre,Sedan,FWD,Injection
Volkswagen,Vento,Highline 1.5 (D) Dsg,2020,Reflex Silver,#E0E0E0,"Rs. 13,36,500",,Diesel,1498 cc,4,105PS@4400rpm,250Nm@1500-2500rpm,,,21.5 km/litre,Sedan,FWD,Injection
Mahindra,Marazzo,M8 7 Str,2021,Iceberg White,#F0F8FF,"Rs. 14,68,440",,Diesel,1497 cc,4,121Bhp@3500rpm,300Nm@1750-2500rpm,,,17.3 km/litre,MPV,FWD,Injection
Mahindra,Marazzo,M8 7 Str,2021,Oceanic Black,#2C3539,"Rs. 14,68,440",,Diesel,1497 cc,4,121Bhp@3500rpm,300Nm@1750-2500rpm,,,17.3 km/litre,MPV,FWD,Injection
Mahindra,Scorpio,S11 2Wd,2023,Everest White,#FFFFFF,"Rs. 15,40,081",,Diesel,2179 cc,4,140PS@3750rpm,320Nm@1500-2800rpm,11.5 km/litre,15.4 km/litre,15.4 km/litre,SUV,FWD,Injection
Mahindra,Scorpio,S11 2Wd,2023,Molten Red Rage,#D73B3E,"Rs. 15,40,081",,Diesel,2179 cc,4,140PS@3750rpm,320Nm@1500-2800rpm,11.5 km/litre,15.4 km/litre,15.4 km/litre,SUV,FWD,Injection
Mahindra,Xuv500,W11 (O) Awd At,2022,Mystic Copper,#7B3F00,"Rs. 19,73,664",,Diesel,2179 cc,4,155PS@3750rpm,330Nm@1750-2800rpm,16 km/litre,,16 km/litre,SUV,AWD,Injection
Mahindra,Xuv500,W11 (O) Awd At,2022,Volcano Black,#100C08,"Rs. 19,73,664",,Diesel,2179 cc,4,155PS@3750rpm,330Nm@1750-2800rpm,16 km/litre,,16 km/litre,SUV,AWD,Injection
Tata,Hexa,Xt 4X4,2015,Arizona Blue,#2C3E50,"Rs. 19,29,417",,Diesel,2179 cc,,156PS@4000rpm,320Nm@1700-2700rpm,14 km/litre,17.6 km/litre,17.6 km/litre,SUV,RWD,Injection
Tata,Hexa,Xt 4X4,2015,Tungsten Silver,#A9A9A9,"Rs. 19,29,417",,Diesel,2179 cc,,156PS@4000rpm,320Nm@1700-2700rpm,14 km/litre,17.6 km/litre,17.6 km/litre,SUV,RWD,Injection
Toyota,Innova Crysta,2.4 Zx 7 Str,2020,Platinum White Pearl,#F5F5F0,"Rs. 21,13,000",,Diesel,2393 cc,4,150PS@3400rpm,343Nm@1400-2800rpm,12 km/litre,,15.1 km/litre,MUV,RWD,Injection
Toyota,Innova Crysta,2.4 Zx 7 Str,2020,Superwhite,#FFFFFF,"Rs. 21,13,000",,Diesel,2393 cc,4,150PS@3400rpm,343Nm@1400-2800rpm,12 km/litre,,15.1 km/litre,MUV,RWD,Injection
Toyota,Corolla Altis,Vl At Petrol,2021,Phantom Brown,#4B3621,"Rs. 20,19,000",,Petrol,1798 cc,4,140PS@6400rpm,173Nm@4000rpm,9.5 km/litre,,16.7 km/litre,Sedan,FWD,Injection
Toyota,Corolla Altis,Vl At Petrol,2021,White Pearl Crystal Shine,#F5F5F0,"Rs. 20,19,000",,Petrol,1798 cc,4,140PS@6400rpm,173Nm@4000rpm,9.5 km/litre,,16.7 km/litre,Sedan,FWD,Injection
Honda,Civic,1.8 Zx Cvt,2022,Radiant Red Metallic,#9E1B32,"Rs. 21,24,900",,Petrol,1799 cc,4,141PS@6500rpm,174Nm@4300rpm,,,16.8 km/litre,Sedan,FWD,Injection
Honda,Civic,1.8 Zx Cvt,2022,Modern Steel Metallic,#71797E,"Rs. 21,24,900",,Petrol,1799 cc,4,141PS@6500rpm,174Nm@4300rpm,,,16.8 km/litre,Sedan,FWD,Injection
Mg,Zs Ev,Exclusive,2016,Glaze Red,#D2042D,"Rs. 23,58,000",,Electric,,,142.76PS@3500rpm,353Nm@5000rpm,,,,SUV,RWD,Injection
Mg,Zs Ev,Exclusive,2016,Aurora Silver,#C0C0C0,"Rs. 23,58,000",,Electric,,,142.76PS@3500rpm,353Nm@5000rpm,,,,SUV,RWD,Injection
Kia,Carnival,Limousine 7 Str,2019,Fusion Black,#1A1110,"Rs. 33,95,000",,Diesel,2199 cc,4,200PS@3800rpm,440Nm@1750-2750rpm,,,,MUV,FWD,Injection
Kia,Carnival,Limousine 7 Str,2019,Glacier white Pearl,#F5F5F0,"Rs. 33,95,000",,Diesel,2199 cc,4,200PS@3800rpm,440Nm@1750-2750rpm,,,,MUV,FWD,Injection
Toyota,Fortuner,2.8 4X4 At,2018,Sparkling Black Cystal Shine,#2F2F2F,"Rs. 33,95,000",,Diesel,2755 cc,4,177PS@3400rpm,450Nm@1600-2400rpm,"12,55 km/litre",12.9 km/litre,12.9 km/litre,SUV,4WD,Injection
Toyota,Fortuner,2.8 4X4 At,2018,Attitude Black,#2F2F2F,"Rs. 33,95,000",,Diesel,2755 cc,4,177PS@3400rpm,450Nm@1600-2400rpm,"12,55 km/litre",12.9 km/litre,12.9 km/litre,SUV,4WD,Injection
Ford,Endeavour,3.2L 4X4 At Titanium Plus,2020,Diffused Silver,#B0C4DE,"Rs. 34,70,000",,Diesel,3198 cc,5,200PS@3000rpm,470Nm@1750-2500rpm,7.7 km/litre,10.91 km/litre,10.91 km/litre,SUV,AWD,Injection
Ford,Endeavour,3.2L 4X4 At Titanium Plus,2020,Absolute Black,#000000,"Rs. 34,70,000",,Diesel,3198 cc,5,200PS@3000rpm,470Nm@1750-2500rpm,7.7 km/litre,10.91 km/litre,10.91 km/litre,SUV,AWD,Injection
Bmw,X1,Sdrive20D M Sport,2021,Alpine White,#FFFFFF,"Rs. 42,40,000",,Diesel,1995 cc,4,187bhp@4000rpm,400Nm@1750-2500rpm,,,17.05 km/litre,SUV,RWD,Injection
Bmw,X1,Sdrive20D M Sport,2021,Storm Bay Metallic,#606E70,"Rs. 42,40,000",,Diesel,1995 cc,4,187bhp@4000rpm,400Nm@1750-2500rpm,,,17.05 km/litre,SUV,RWD,Injection
Volvo,S60,Polestar,2021,Crystal White Pearl,#F5F5F5,"Rs. 56,02,000",,Petrol,1969 cc,4,372Ps@5700rpm,470Nm@2100-4800rpm,13.2 km/litre,18.5 km/litre,,Sedan,FWD,Injection
Volvo,S60,Polestar,2021,Onyx Black,#0F0F0F,"Rs. 56,02,000",,Petrol,1969 cc,4,372Ps@5700rpm,470Nm@2100-4800rpm,13.2 km/litre,18.5 km/litre,,Sedan,FWD,Injection
Audi,Q5,Technology 45 Tfsi,2018,Navarra Blue Metallic,#000080,"Rs. 56,21,200",,Petrol,1984 cc,6,248 bhp @ 5000-6000 rpm,370 Nm @ 1600-4500 rpm,,,12.44 km/litre,SUV,AWD,Injection
Audi,Q5,Technology 45 Tfsi,2018,Glacier White,#F0F8FF,"Rs. 56,21,200",,Petrol,1984 cc,6,248 bhp @ 5000-6000 rpm,370 Nm @ 1600-4500 rpm,,,12.44 km/litre,SUV,AWD,Injection
Land Rover,Range Rover Evoque,Se R-Dynamic Petrol,2017,Tribeca Blue,#0047AB,"Rs. 59,85,000",,Petrol,1997 cc,4,245PS@5500rpm,365Nm@1500-4500rpm,,,,SUV,AWD,Injection
Land Rover,Range Rover Evoque,Se R-Dynamic Petrol,2017,Fuji White,#F9F9F9,"Rs. 59,85,000",,Petrol,1997 cc,4,245PS@5500rpm,365Nm@1500-4500rpm,,,,SUV,AWD,Injection
Mercedes-Benz,E-Class,E220D Exclusive,2019,High Tech Silver,#C0C0C0,"Rs. 62,50,000",,Diesel,2987 cc,6,268.7PS@3800rpm,620Nm@1600rpm,,,142 km/litre,Sedan,RWD,Injection
Mercedes-Benz,E-Class,E220D Exclusive,2019,Graphite Grey,#4B4E53,"Rs. 62,50,000",,Diesel,2987 cc,6,268.7PS@3800rpm,620Nm@1600rpm,,,142 km/litre,Sedan,RWD,Injection
Volvo,Xc60,Inscription D5,2022,Crystal White,#F5F5F5,"Rs. 59,90,000",,Diesel,1969 cc,5,233PS@4250rpm,480Nm@1750rpm,11.7 km/litre,18.8 km/litre,18.8 km/litre,SUV,AWD,Injection
Volvo,Xc60,Inscription D5,2022,Denim Blue,#2F519F,"Rs. 59,90,000",,Diesel,1969 cc,5,233PS@4250rpm,480Nm@1750rpm,11.7 km/litre,18.8 km/litre,18.8 km/litre,SUV,AWD,Injection
Bmw,X4,Xdrive30D M Sport X,2020,Black Sapphire,#0F0F0F,"Rs. 65,90,000",,Diesel,2993 cc,6,265PS@4000RPM,620Nm@2000-2500RPM,,,16.4 km/litre,SUV,AWD,Injection
Bmw,X4,Xdrive30D M Sport X,2020,Brooklyn Grey,#808080,"Rs. 65,90,000",,Diesel,2993 cc,6,265PS@4000RPM,620Nm@2000-2500RPM,,,16.4 km/litre,SUV,AWD,Injection
